name,symbol,seller_fee_basis_points,Monkey Name,Monkey ID,Monkey Parents,Monkey Gender,Monkey Date of Birth,Alpha Score,Color,Tattoo,Hairstyle,Eyes,Mouth,Nose,Ears,Arms,Legs,Outfit,Pattern Style,Accuracy,Max Accuracy,Passing,Max Passing,Defense,Max Defense,Control,Max Control,Precision Shot,Protective Holding,Hard Header,Flank Pass,Extreme Pressing,Pass Interception,Hard Tackle,Defensive Awareness,Last Stand Defense,Golden Gloves,Goalie Resistance,Goalie Long Ball,Monkey evolution history,Type,Created,collection: name/family,creators: address/share
Monkey #11251,ML,450,Nuyon,11251,,Male,2022-01-24T20:29:31.9017,489,Christmas Green,Lion King,Greased Lightning,Amazed,Poker Face Grin,Pointed,Spoon,Feather Tip Muscle,Wing Tip,Hoodie & Headphones,Plain Tee,18,77,17,84,23,83,15,81,0.08,0.02,0.14,0.07,0.1,0.08,0.02,0.05,0.09,0.1,0.07,0.11,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11295,ML,450,Tinrick,11295,,Male,2022-01-24T20:29:31.9183,390,Chalk White,Tiger Skin,Flame Top,Shocked Glass Eyes,Smirk,Waterfall,Elf,Bare Muscle Arm,Leaf Tip,Plain Tee,Diamond Stripes,23,90,18,82,16,86,13,78,0.12,0.1,0.08,0.09,0.07,0.03,0.09,0.1,0.07,0.06,0.03,0.03,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11075,ML,450,Chanes,11075,,Male,2022-01-24T20:29:31.8346,398,Cherry Red,None,Tidal Wave,Mindful,Game Face Grin,Waterfall,Single Ear Gold Spikes,Bare Muscle Arm,Wing Tip,Sleeveless Hoodie,Half n Half,20,85,16,89,20,82,12,83,0.11,0.11,0.1,0.06,0.06,0.01,0.08,0.14,0.08,0.13,0.05,0.17,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11313,ML,450,Moamiz,11313,,Male,2022-01-24T20:29:31.9251,444,MonkeyPink,None,Hipster Beanie,Sport MonkeyFocals,Smirk,Silver Nostril Ring on Pig Nose,Pointed,Bare Muscle Arm,Wing Tip,Silver Aztec Chain,Inverted Pulse,13,94,16,81,16,83,16,84,0.11,0.11,0.15,0.08,0.06,0.17,0.19,0.05,0.09,0.03,0.09,0.08,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11393,ML,450,Cambop,11393,,Male,2022-01-24T20:29:31.9555,581,MonkeySky Blue,Tiger Skin,Flame Top,Thin Bridge MonkeyFocals,Toothpick Grin,Pointed,Pointed,Wing Tip Skinny,Leaf Tip,Silver MonkeyTough Chain,Pillared Stripes,16,80,17,83,24,85,12,77,0.04,0.12,0.08,0.11,0.02,0.05,0.08,0.09,0.14,0.14,0.04,0.17,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11133,ML,450,Boooz,11133,,Male,2022-01-24T20:29:31.8573,562,Blurple,Tribal,Messy Spikes,Amazed,Smile,Pig Nose,Block,Wing Tip Skinny,Wing Tip,Silver MonkeyKing Chain,New Age Camouflage,14,79,20,92,10,84,14,87,0.08,0.11,0.14,0.06,0.14,0.07,0.08,0.06,0.06,0.14,0.07,0.04,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11301,ML,450,Derick,11301,,Male,2022-01-24T20:29:31.9206,481,Cocoa Banana,None,Tidal Wave,Vengeful,Smirk,Stubby,Double Ear Gold Hoop,Wing Tip Skinny,Bare,Silver MonkeyTough Chain,Lightning Bolt ,11,86,19,80,15,82,18,80,0.03,0.02,0.12,0.02,0.22,0.13,0.11,0.13,0.06,0.09,0.12,0.11,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11086,ML,450,Melissa,11086,,Male,2022-01-24T20:29:31.8390,384,Titanic Blue,None,Flame Top,Amazed,Smirk,Stubby,Spoon,Feather Tip Muscle,Flame Tip,Silver MonkeyTough Chain,Horizontal Stripes,11,79,19,89,15,76,13,83,0.06,0.11,0.17,0.01,0.19,0.09,0.08,0.23,0.08,0.09,0.07,0.04,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11200,ML,450,Oyvon,11200,,Male,2022-01-24T20:29:31.8825,511,Cherry Red,None,Crown Top,Vengeful,Smirk,Silver Nostril Ring on Pig Nose,Single Ear Gold Spikes,Wing Tip Skinny,Wing Tip,Sleeveless Hoodie & Headphones,Thrasher,23,86,18,83,13,88,14,80,0.08,0.11,0.05,0.04,0.09,0.12,0.02,0.04,0.05,0.08,0.09,0.07,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11353,ML,450,Moate,11353,,Male,2022-01-24T20:29:31.9406,443,Jungle Green,Tribal,Tidal Wave,Furious,Smile,Silver Septum Ring on Stubby Nose,Single Ear Gold Hoop,Wing Tip Skinny,Leaf Tip,Hoodie,Zig Zag,13,80,13,85,12,77,17,81,0.08,0.17,0.16,0.13,0.06,0.12,0.08,0.03,0.05,0.07,0.06,0.09,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11131,ML,450,Degig,11131,,Male,2022-01-24T20:29:31.8565,565,Northern Brown,Dragon Flames,Mountain Top with Headband,Furious,Game Face Grin,Waterfall,Pigeon,Leaf Tip Max Muscle,Wing Tip,Silver MonkeyTough Chain,Thrasher,11,85,14,75,17,84,14,80,0.08,0.06,0.14,0.09,0.15,0.08,0.05,0.06,0.1,0.09,0.11,0.05,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11085,ML,450,Shinmua,11085,,Male,2022-01-24T20:29:31.8386,571,MonkeyRed,Tiger Skin,Swirly Top,Furious,Game Face Grin,Waterfall,Double Ear Gold Hoop,Wing Tip Skinny,Bare,Silver MonkeyKing Chain,New Age Camouflage,12,80,12,83,10,77,15,83,0.1,0.1,0.04,0.04,0.09,0.09,0.08,0.08,0.11,0.08,0.14,0.08,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11197,ML,450,Dohi,11197,,Male,2022-01-24T20:29:31.8814,466,Northern Blue,Tribal,Ninja Headband,Wicked,Poker Face Grin,Silver Nostril Ring on Pig Nose,Pigeon,Wing Tip Skinny,Bare,Hoodie & Headphones,Horizontal Stripes,13,78,11,86,16,78,17,82,0.11,0.04,0.04,0.18,0.05,0.11,0.08,0.07,0.06,0.09,0.07,0.06,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11130,ML,450,Odishi,11130,,Male,2022-01-24T20:29:31.8561,553,Cherry Red,Lion King,Slicked Back Bun,Focused,Smirk,Silver Septum Ring on Waterfall Nose,Pointed,Feather Tip Muscle,Flame Tip,Sleeveless Hoodie,Diamond Stripes,17,81,17,87,13,86,16,83,0.11,0.04,0.09,0.2,0.06,0.16,0.05,0.09,0.22,0.03,0.18,0.02,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11299,ML,450,Polda,11299,,Male,2022-01-24T20:29:31.9198,574,Ash Black,Dragon Flames,Tidal Wave,Shocked,Game Face Grin,Pointed,Spoon,Feather Tip Muscle,Flame Tip,Hoodie & Headphones,Zig Zag,14,84,12,87,13,81,14,79,0.09,0.1,0.08,0.18,0.08,0.11,0.09,0.09,0.13,0.12,0.06,0.15,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11174,ML,450,Oplak,11174,,Male,2022-01-24T20:29:31.8727,630,Himalayan Green,None,Designed Ball Cap,Sad,Smile,Silver Nostril Ring on Pig Nose,Double Ear Gold Hoop,Flame Tip Max Muscle,Bare,Silver Aztec Chain,Hi Tech,22,84,11,89,20,92,12,83,0.1,0.12,0.12,0.18,0.08,0.04,0.09,0.07,0.11,0.05,0.11,0.05,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11378,ML,450,Boyas,11378,,Male,2022-01-24T20:29:31.9499,581,MonkeyBrick Red,Tribal,Mountain Top with Headband,Wicked Glass Eyes,Game Face Grin,Pig Nose,Elf,Leaf Tip Max Muscle,Flame Tip,Silver MonkeyKing Chain,Zig Zag,23,82,12,85,21,80,16,81,0.04,0.08,0.04,0.03,0.07,0.06,0.1,0.08,0.11,0.1,0.06,0.02,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11194,ML,450,Kinami,11194,,Male,2022-01-24T20:29:31.8802,504,Cocoa Banana,Tiger Skin,Ninja Headband,Furious,Smirk,Waterfall,Single Ear Gold Spikes,Wing Tip Skinny,Flame Tip,Sleeveless Hoodie,Razor Spike,24,80,15,79,17,83,17,81,0.04,0.04,0.08,0.07,0.18,0.12,0.11,0.05,0.1,0.06,0.07,0.12,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11178,ML,450,Tenvon,11178,,Male,2022-01-24T20:29:31.8742,431,Cherry Red,Tribal,Slicked Back,Amazed,Game Face Grin,Stubby,Pigeon,Bare Muscle Arm,Bare,Hoodie & Headphones,Half n Half,13,75,17,85,12,78,17,85,0.04,0.11,0.17,0.04,0.04,0.07,0.06,0.13,0.13,0.15,0.04,0.08,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11083,ML,450,Izulan,11083,,Male,2022-01-24T20:29:31.8377,505,Ash Black,Tribal,Greased Lightning,Mindful,Game Face Grin,Waterfall,Pointed,Leaf Tip Max Muscle,Flame Tip,Hoodie & Headphones,Half n Half,13,94,16,76,15,84,11,82,0.11,0.01,0.08,0.04,0.07,0.08,0.06,0.08,0.09,0.04,0.16,0.11,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11109,ML,450,Nlo,11109,,Male,2022-01-24T20:29:31.8476,469,Blurple,None,Short Dreads with Headband,Wicked,Toothpick Grin,Pig Nose,Spoon,Leaf Tip Max Muscle,Wing Tip,Hoodie & Headphones,Horizontal Stripes,13,81,15,87,13,88,17,82,0.07,0.16,0.13,0.14,0.06,0.02,0.09,0.04,0.07,0.06,0.09,0.07,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11192,ML,450,Oqyuk,11192,,Male,2022-01-24T20:29:31.8794,560,Baby MonkeyBrown,Tiger Skin,Mountain Top,Thin Bridge MonkeyFocals,Toothpick Grin,Stubby,Single Ear Gold Hoop,Leaf Tip Max Muscle,Leaf Tip,Sleeveless Hoodie & Headphones,Half n Half,20,79,15,91,11,75,13,81,0.18,0.06,0.22,0.05,0.2,0.14,0.09,0.06,0.1,0.12,0.13,0.12,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11193,ML,450,Staishi,11193,,Male,2022-01-24T20:29:31.8798,470,Forest Green,Dragon Flames,Flame Top,Mindful,Smirk,Stubby,Single Ear Gold Hoop,Leaf Tip Max Muscle,Leaf Tip,Hoodie & Headphones,Lightning Bolt ,21,82,20,79,12,80,17,85,0.06,0.04,0.06,0.03,0.13,0.12,0.15,0.11,0.18,0.18,0.12,0.08,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11104,ML,450,Avski,11104,,Male,2022-01-24T20:29:31.8458,536,MonkeyRed,Dragon Flames,Plain Colored Tip Snapback Cap,Shocked Glass Eyes,Smirk,Pointed,Block,Flame Tip Max Muscle,Flame Tip,Plain Tee,Half n Half,12,82,20,79,15,87,18,79,0.07,0.12,0.05,0.09,0.1,0.08,0.03,0.17,0.04,0.06,0.12,0.1,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11322,ML,450,Mioc,11322,,Male,2022-01-24T20:29:31.9285,526,Hot Green,Pyramids,Solid Color Backward Snapback Cap,Mindful,Smirk,Stubby,Pointed,Leaf Tip Max Muscle,Bare,Hoodie & Headphones,Half n Half,17,81,12,80,18,77,14,90,0.04,0.1,0.03,0.03,0.08,0.11,0.04,0.03,0.18,0.06,0.04,0.1,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11228,ML,450,Miba,11228,,Male,2022-01-24T20:29:31.8930,420,Charcoal Black,None,Mountain Top,Amazed,Game Face Grin,Pig Nose,Single Ear Gold Hoop,Wing Tip Skinny,Leaf Tip,Plain Tee,New Age Camouflage,16,80,20,84,17,84,16,81,0.1,0.11,0.11,0.1,0.08,0.08,0.06,0.09,0.12,0.05,0.05,0.08,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11189,ML,450,Ralri,11189,,Male,2022-01-24T20:29:31.8783,601,Grapefruit Pink,Dragon Flames,Mountain Top,Amazed,Toothpick Grin,Silver Nostril Ring on Pig Nose,Block,Flame Tip Max Muscle,Flame Tip,Sleeveless Hoodie & Headphones,Zig Zag,16,82,16,80,19,90,17,76,0.04,0.11,0.12,0.11,0.03,0.08,0.1,0.11,0.1,0.09,0.1,0.06,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11110,ML,450,Boyni,11110,,Male,2022-01-24T20:29:31.8480,426,Hulky Green,None,Flame Top,Vengeful,Game Face Grin,Pointed,Pointed,Flame Tip Max Muscle,Flame Tip,Plain Tee,Horizontal Stripes,17,82,17,79,16,83,13,78,0.19,0.02,0.1,0.03,0.1,0.08,0.2,0.14,0.07,0.06,0.09,0.16,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11088,ML,450,Adlak,11088,,Male,2022-01-24T20:29:31.8398,430,MonkeyRed,Dragon Flames,Ninja Headband,Amazed,Smirk,Pig Nose,Pigeon,Bare Muscle Arm,Wing Tip,Plain Tee,Thrasher,12,76,18,80,14,75,18,97,0.12,0.11,0.1,0.05,0.06,0.09,0.2,0.07,0.07,0.12,0.16,0.06,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11090,ML,450,Jusan,11090,,Male,2022-01-24T20:29:31.8406,518,MonkeyRed,Dragon Flames,Mountain Top with Headband,Vengeful,Smile,Pointed,Single Ear Gold Hoop,Bare Muscle Arm,Wing Tip,Hoodie,Lightning Bolt ,14,90,13,82,13,77,24,84,0.07,0.08,0.04,0.02,0.11,0.05,0.09,0.06,0.15,0.12,0.08,0.08,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11196,ML,450,Deezu,11196,,Male,2022-01-24T20:29:31.8810,411,Titanic Blue,None,Greased Lightning,Sport MonkeyFocals,Smile,Stubby,Spoon,Wing Tip Skinny,Bare,Hoodie,Diamond Stripes,13,87,17,79,17,80,12,79,0.03,0.15,0.07,0.16,0.08,0.09,0.07,0.05,0.04,0.13,0.03,0.06,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11129,ML,450,Koocray,11129,,Male,2022-01-24T20:29:31.8558,406,Jungle Green,Tribal,Messy Spikes,Amazed,Poker Face Grin,Pig Nose,Single Ear Gold Hoops,Bare Muscle Arm,Bare,Plain Tee,Diamond Stripes,11,80,16,84,11,83,12,92,0.06,0.11,0.11,0.12,0.1,0.12,0.07,0.06,0.09,0.15,0.06,0.08,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11375,ML,450,Penar,11375,,Male,2022-01-24T20:29:31.9488,505,Forest Green,None,Messy Spikes,Shocked,Laughing,Stubby,Block,Wing Tip Skinny,Wing Tip,Silver MonkeyKing Chain,Plain Tee,14,78,12,80,13,88,15,85,0.03,0.05,0.11,0.04,0.1,0.09,0.13,0.03,0.06,0.13,0.12,0.12,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11268,ML,450,Gagoo,11268,,Male,2022-01-24T20:29:31.9081,529,Cocoa Banana,None,Greased Lightning,Wicked Glass Eyes,Game Face Grin,Pig Nose,Block,Feather Tip Muscle,Flame Tip,Sleeveless Hoodie,Inverted Pulse,11,78,16,78,15,81,13,83,0.11,0.1,0.03,0.03,0.03,0.08,0.03,0.2,0.03,0.06,0.04,0.12,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11383,ML,450,Ofzel,11383,,Male,2022-01-24T20:29:31.9518,529,Himalayan Green,Tiger Skin,Ninja Headband,Thin Bridge MonkeyFocals,Bubblegum,Silver Nostril Ring on Pig Nose,Pigeon,Wing Tip Skinny,Bare,Hoodie,Half n Half,15,86,18,79,13,83,18,77,0.09,0.13,0.1,0.02,0.13,0.11,0.03,0.04,0.06,0.07,0.14,0.05,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11359,ML,450,Gaap,11359,,Male,2022-01-24T20:29:31.9429,535,MonkeyRed,Tribal,Messy Spikes,Furious,Game Face Grin,Pig Nose,Single Ear Gold Spikes,Wing Tip Skinny,Flame Tip,Plain Tee,Half n Half,13,81,14,82,18,82,18,82,0.12,0.22,0.07,0.1,0.1,0.12,0.06,0.19,0.06,0.1,0.05,0.14,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11102,ML,450,Mango,11102,,Male,2022-01-24T20:29:31.8450,581,Cocoa Banana,Lion King,Solid Color Backward Snapback Cap,Vengeful,Bubblegum,Pig Nose,Single Ear Gold Hoop,Wing Tip Skinny,Bare,Hoodie,Pillared Stripes,13,76,12,82,15,84,15,81,0.09,0.11,0.13,0.16,0.12,0.12,0.07,0.09,0.09,0.23,0.02,0.07,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11239,ML,450,Boobi,11239,,Male,2022-01-24T20:29:31.8972,567,Ash Black,None,Slicked Back with Bandana,Shocked Glass Eyes,Poker Face Grin,Pointed,Single Ear Gold Spikes,Flame Tip Max Muscle,Leaf Tip,Silver Aztec Chain,Diamond Stripes,15,83,16,79,14,79,18,85,0.07,0.01,0.11,0.01,0.11,0.19,0.03,0.14,0.04,0.02,0.08,0.12,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11143,ML,450,Juko,11143,,Male,2022-01-24T20:29:31.8610,433,MonkeyBrick Red,Tiger Skin,Mountain Top,Hulky Green Laser Mechanical Eyes,Laughing,Waterfall,Single Ear Gold Hoop,Flame Tip Max Muscle,Flame Tip,Plain Tee,Inverted Pulse,14,90,17,80,13,84,21,91,0.13,0.05,0.11,0.16,0.05,0.07,0.05,0.07,0.07,0.08,0.05,0.09,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11343,ML,450,Ozva,11343,,Male,2022-01-24T20:29:31.9364,420,Charcoal Black,None,Hipster Beanie,Wicked Glass Eyes,Poker Face Grin,Pig Nose,Single Ear Gold Hoops,Bare Muscle Arm,Bare,Plain Tee,New Age Camouflage,11,85,13,86,14,78,11,79,0.04,0.08,0.06,0.04,0.16,0.08,0.17,0.01,0.12,0.06,0.07,0.09,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11080,ML,450,Valzak,11080,,Male,2022-01-24T20:29:31.8365,517,Jungle Green,Tiger Skin,Bandana Cap,Mindful,Yelling Grin,Pointed,Spoon,Flame Tip Max Muscle,Flame Tip,Hoodie & Headphones,Lightning Bolt ,18,89,14,90,18,84,18,78,0.04,0.09,0.11,0.07,0.13,0.2,0.09,0.1,0.05,0.08,0.06,0.15,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11154,ML,450,Quacaj,11154,,Male,2022-01-24T20:29:31.8652,554,Avatar Blue,Lion King,Messy Spikes,Thin Bridge MonkeyFocals,Smirk,Pig Nose,Elf,Bare Muscle Arm,Wing Tip,Hoodie & Headphones,Lightning Bolt ,16,81,16,83,12,84,18,82,0.05,0.11,0.07,0.07,0.12,0.08,0.05,0.13,0.06,0.09,0.12,0.03,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11078,ML,450,Barano,11078,,Male,2022-01-24T20:29:31.8358,486,MonkeyBrown,Lion King,Backward Snapback Cap,Wicked,Yelling Grin,Waterfall,Pigeon,Leaf Tip Max Muscle,Bare,Silver Aztec Chain,Half n Half,12,89,15,85,13,82,19,82,0.05,0.08,0.09,0.05,0.08,0.03,0.09,0.07,0.09,0.04,0.16,0.09,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11332,ML,450,Maagig,11332,,Male,2022-01-24T20:29:31.9323,403,Cocoa Banana,None,Flat Brim Snapback Cap,Wicked,Laughing,Pig Nose,Elf,Bare Muscle Arm,Wing Tip,Plain Tee,Zig Zag,17,83,24,85,16,80,11,79,0.09,0.07,0.08,0.08,0.05,0.11,0.21,0.09,0.17,0.04,0.07,0.08,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11293,ML,450,Kabop,11293,,Male,2022-01-24T20:29:31.9176,493,Frankenstein Green,Dragon Flames,Flame Top,Vengeful,Game Face Grin,Pig Nose,Elf,Bare Muscle Arm,Wing Tip,Plain Tee,Pillared Stripes,18,81,12,88,14,83,10,87,0.05,0.1,0.06,0.1,0.14,0.06,0.04,0.04,0.01,0.07,0.15,0.04,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11207,ML,450,Bamze,11207,,Male,2022-01-24T20:29:31.8851,456,Charcoal Black,Lion King,Tidal Wave,Mindful,Game Face Grin,Stubby,Pointed,Bare Muscle Arm,Flame Tip,Silver MonkeyTough Chain,Pillared Stripes,14,82,17,84,18,85,15,82,0.14,0.04,0.08,0.06,0.06,0.08,0.1,0.07,0.13,0.1,0.13,0.08,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11363,ML,450,Boyni,11363,,Male,2022-01-24T20:29:31.9444,542,Sandy Beach,Dragon Flames,Tidal Wave,Vengeful,Poker Face Grin,Stubby,Single Ear Gold Spikes,Leaf Tip Max Muscle,Leaf Tip,Sleeveless Hoodie,Horizontal Stripes,15,85,19,82,16,82,16,79,0.06,0.07,0.13,0.07,0.13,0.04,0.1,0.02,0.08,0.1,0.06,0.12,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11394,ML,450,Zelof,11394,,Male,2022-01-24T20:29:31.9559,366,MonkeyRed,Tiger Skin,Bandana Cap,Mindful,Smirk,Silver Septum Ring on Stubby Nose,Pigeon,Bare Muscle Arm,Wing Tip,Plain Tee,New Age Camouflage,12,79,13,86,15,88,14,77,0.05,0.15,0.03,0.07,0.12,0.07,0.11,0.11,0.08,0.16,0.07,0.05,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11337,ML,450,Flevo,11337,,Male,2022-01-24T20:29:31.9342,467,MonkeyBrick Red,None,Plain Colored Tip Snapback Cap,Amazed,Smirk,Stubby,Double Ear Gold Hoops,Leaf Tip Max Muscle,Leaf Tip,Silver Aztec Chain,Razor Spike,18,77,12,83,13,80,16,82,0.02,0.11,0.16,0.19,0.07,0.09,0.12,0.16,0.1,0.06,0.02,0.1,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
Monkey #11356,ML,450,Alba,11356,,Male,2022-01-24T20:29:31.9417,535,Himalayan Green,Tribal,Messy Spikes,Vengeful,Game Face Grin,Pig Nose,Double Ear Gold Hoop,Flame Tip Max Muscle,Bare,Sleeveless Hoodie,Inverted Pulse,12,79,14,86,14,87,12,82,0.04,0.06,0.15,0.02,0.08,0.08,0.17,0.08,0.21,0.04,0.12,0.05,[],Monkey,1643048971,2022 Gen Zero/MonkeyLeague,BAjb6D4n8LGrzGpncShKFxkD8dpGKM3KoZ6yrmSrai8k/100
